window_size,stdv,alt_min,received_alg,similarity
2,0.25,350, D D' U D D D D R R R R L L D' D L L F F F D' D F B B B B,85
2,0.25,450, D D' D D' R R R R L L L L F F F F B B B B,90
2,0.25,550, D D' R R R R L L L L F F F F B B B B,86
2,0.5,50, U' U U' U U U D D' U U D R R' R D R' R D R' U' U R' D R R R R U' U R U' D' R L U D R' U' U U' U L D' D U' U L R R' L U' U R F R' D F U' D U U' U U' D D' U U' F U D' U D U U' D' F D' R R' U R B R' U' D R D' R' B U U' R B U R' U' B U U' B F' L' U' R' U D' U' R U,27
2,0.5,150, U' U U' U D D' U U D D D U' D U R R R R D' R L D R' L D' D U' L R R' L F F D D' F D' D F R' R' B D R B R' D' B B F' B',53
2,0.5,250, U D D' U D D D D R R R R D' D L L D' D L R R' L F F F D' D F R R' B D B D' B B,63
2,0.5,350, D D' U D D D D R R R R L L D' D L L F F F D' D F B B B B,85
2,0.5,450, D D' D D' R R R R L L L L F F F F B B B B,90
2,0.5,550, D D' R R R R L L L L F F F F B B B B,86
2,0.75,50, U' U U' U U U D D' U U D R R' R D R' R D R' U' U R' D R R R R U' U R U' D' R L U D R' U' U U' U L D' D U' U L R R' L U' U R F R' D F U' D U U' U U' D D' U U' F U D' U D U U' D' F D' R R' U R B R' U' D R D' R' B U U' R B U R' U B U U' B F' L' U' R' U D' U' R U,27
2,0.75,150, U' U U' U D D' U U D D D U' D U R R R R D' R L D R' L D' D U' L R R' L F F D D' F D' D F R' R' B D R B R' D' B B F' B',53
2,0.75,250, U D D' U D D D D R R R R D' D L L D' D L R R' L F F F D' D F R R' B D B D' B B,63
2,0.75,350, D D' U D D D D R R R R L L D' D L L F F F D' D F B B B B,85
2,0.75,450, D D' D D' R R R R L L L L F F F F B B B B,90
2,0.75,550, D D' R R R R L L L L F F F F B B B B,86
2,1.0,50, U' U U' U U U D D' U U D R R' R D R' R D R' U' U D R R R U' U R U' D' R L U D R' U' U U' U L D' D U' U L R R' L U' U R F R' D F U D D D' U U' F U' D' U D U U' D' F R D' R' U R B R' U' D R D' R' B R B R' U U B U U' B F' L' U' R' U D' U' R U,31
2,1.0,150, U' U U' U D D' U U D D D U' D U R R R R D' R L D R' L D' D U' L R R' L F F D D' F D' D F R' R' B D R B R' D' B B F' B',53
2,1.0,250, U D D' U D D D D R R R R D' D L L D' D L R R' L F F F D' D F R R' B D B D' B B,63
2,1.0,350, D D' U D D D D R R R R L L D' D L L F F F D' D F B B B B,85
2,1.0,450, D D' D D' R R R R L L L L F F F F B B B B,90
2,1.0,550, D D' R R R R L L L L F F F F B B B B,86
2,1.25,50, U' U D D' U U D R R' D R D R' U' U D R R R U' R U U' D' R L D R' L D' U D L R R' L R F R' D F D U D D' F D' D D' F R D' R' R B R' D R D' R' B R B R' U' U B B F' L' U' R' U D' U' R U,36
2,1.25,150, U' U D D' U U D D D U' D U R R R R D' R L D R' L D' D L R R' L F F D D' F D' U' D F R' R' B D R B R' D' B B F' B',53
2,1.25,250, U D D' U D D D D R R R R D' D L L D' D L R R' L F F F D' D F R R' B D B D' B B,63
2,1.25,350, D D' U D D D D R R R R L L D' D L L F F F D' D F B B B B,85
2,1.25,450, D D' D D' R R R R L L L L F F F F B B B B,90
2,1.25,550, D D' R R R R L L L L F F F F B B B B,86
2,1.5,50, U D D' U U D R R' D R D R' U' D U' R R R U' R U U' D' R L D R' L D' D L R R' L U R F R' D F D U' D D' F D' D D' F R D' R' R B R' D R D' R' B R B R' B B F' L' R' D' U' R U,38
2,1.5,150, U D D' U U D D D U' D U' R R R R D' R L D R' L D' D L R R' L F F D D' F D' U' D F R' R' B D R B R' D' B B F' B',54
2,1.5,250, U D D' U D D D D R R R R D' D L L D' D L R R' L F F F D' D F R R' B D B D' B B,63
2,1.5,350, D D' U D D D D R R R R L L D' D L L F F F D' D F B B B B,85
2,1.5,450, D D' D D' R R R R L L L L F F F F B B B B,90
2,1.5,550, D D' R R R R L L L L F F F F B B B B,86
2,1.75,50, U D D' U D R R' D R D U R' U' D U' R R R U' R D' R L D R' L D' D L R R' L R F R' D F D D D' F D' D D' F R' D' R' R B R' D R D' R' B R B R' B B F' L' R' D' U' R U,36
2,1.75,150, U D D' U D D D U U' D U' R R R R D' R L D R' L D' D L R R' L F F D D' F D' U D F R' R' B D R B R' D' B B F' B',53
2,1.75,250, U D D' U D D D D R R R R D' D L L D' D L R R' L F F F D' D F R R' B D B D' B B,63
2,1.75,350, D D' U D D D D R R R R L L D' D L L F F F D' D F B B B B,85
2,1.75,450, D D' D D' R R R R L L L L F F F F B B B B,90
2,1.75,550, D D' R R R R L L L L F F F F B B B B,86
2,2.0,50, U D D' U D R R' D R D D R' U R R R U' R D' R L D R' L D' D L R R' L R F R' D F D D D' F D' D F R' R' R B R' D R R' B D' R B R' B B F' R' D' U' R U,39
2,2.0,150, U D D' U D D D D R R R R D' R L D R' L D' D L R R' L F F D D' F D' D F R' R' B D R B R' D' B B F' B',57
2,2.0,250, U D D' U D D D D R R R R D' D L L D' D L R R' L F F F D' D F R R' B D B D' B B,63
2,2.0,350, D D' U D D D D R R R R L L D' D L L F F F D' D F B B B B,85
2,2.0,450, D D' D D' R R R R L L L L F F F F B B B B,90
2,2.0,550, D D' R R R R L L L L F F F F B B B B,86
2,2.25,50, U D D' U D D D D U R R R U' R D' R L D R' L D' D L R R' L R F R' D F D D D' F D' D F R' R' R B R' D R R' B D' R B R' B B F' R' D' U' R U,41
2,2.25,150, U' D D' U D D D D R R R R D' R L D R' L D' D L R R' L F F D D' F D' D F R' R' B D R B R' D' B B F' B',56
